OTU,active
Otu03161,blips
Otu03165,blips
Otu03168,blips
Otu03169,blips
Otu03172,blips
Otu03174,blips
Otu03175,blips
Otu03176,blips
Otu03178,blips
Otu03179,blips
Otu03182,blips
Otu03183,blips
Otu03189,blips
Otu03190,blips
Otu03194,blips
Otu03195,blips
Otu03197,blips
Otu03201,blips
Otu03204,blips
Otu03205,blips
Otu03207,blips
Otu03208,blips
Otu03209,blips
Otu03210,blips
Otu03211,blips
Otu03212,blips
Otu03213,blips
Otu03215,blips
Otu03216,blips
Otu03217,blips
Otu03219,blips
Otu03220,blips
Otu03221,blips
Otu03222,blips
Otu03225,blips
Otu03226,blips
Otu03230,blips
Otu03231,blips
Otu03233,blips
Otu03235,blips
Otu03236,blips
Otu03237,blips
Otu03239,blips
Otu03240,blips
Otu03244,blips
Otu03246,blips
Otu03250,blips
Otu03251,blips
Otu03253,blips
Otu03254,blips
Otu03255,blips
Otu03256,blips
Otu03257,blips
Otu03259,blips
Otu03260,blips
Otu03262,blips
Otu03264,blips
Otu03265,blips
Otu03267,blips
Otu03271,blips
Otu03274,blips
Otu03277,blips
Otu03280,blips
Otu03281,blips
Otu03282,blips
Otu03284,blips
Otu03285,blips
Otu03286,blips
Otu03287,blips
Otu03288,blips
Otu03290,blips
Otu03292,blips
Otu03295,blips
Otu03296,blips
Otu03299,blips
Otu03300,blips
Otu03301,blips
Otu03302,blips
Otu03303,blips
Otu03304,blips
Otu03307,blips
Otu03309,blips
Otu03311,blips
Otu03312,blips
Otu03314,blips
Otu03316,blips
Otu03317,blips
Otu03318,blips
Otu03319,blips
Otu03322,blips
Otu03324,blips
Otu03326,blips
Otu03327,blips
Otu03329,blips
Otu03330,blips
Otu03332,blips
Otu03334,blips
Otu03335,blips
Otu03336,blips
Otu03337,blips
Otu03339,blips
Otu03340,blips
Otu03343,blips
Otu03345,blips
Otu03346,blips
Otu03348,blips
Otu03350,blips
Otu03351,blips
Otu03352,blips
Otu03353,blips
Otu03354,blips
Otu03355,blips
Otu03356,blips
Otu03357,blips
Otu03359,blips
Otu03360,blips
Otu03362,blips
Otu03364,blips
Otu03366,blips
Otu03367,blips
Otu03371,blips
Otu03372,blips
Otu03374,blips
Otu03375,blips
Otu03377,blips
Otu03379,blips
Otu03380,blips
Otu03381,blips
Otu03382,blips
Otu03385,blips
Otu03390,blips
Otu03392,blips
Otu03394,blips
Otu03395,blips
Otu03396,blips
Otu03397,blips
Otu03403,blips
Otu03405,blips
Otu03406,blips
Otu03407,blips
Otu03409,blips
Otu03411,blips
Otu03412,blips
Otu03414,blips
Otu03415,blips
Otu03420,blips
Otu03421,blips
Otu03423,blips
Otu03424,blips
Otu03425,blips
Otu03426,blips
Otu03427,blips
Otu03428,blips
Otu03431,blips
Otu03433,blips
Otu03434,blips
Otu03435,blips
Otu03436,blips
Otu03438,blips
Otu03440,blips
Otu03441,blips
Otu03442,blips
Otu03444,blips
Otu03445,blips
Otu03447,blips
Otu03449,blips
Otu03459,blips
Otu03460,blips
Otu03463,blips
Otu03464,blips
Otu03465,blips
Otu03467,blips
Otu03469,blips
Otu03471,blips
Otu03472,blips
Otu03473,blips
Otu03474,blips
Otu03477,blips
Otu03478,blips
Otu03479,blips
Otu03480,blips
Otu03481,blips
Otu03482,blips
Otu03484,blips
Otu03485,blips
Otu03486,blips
Otu03489,blips
Otu03490,blips
Otu03491,blips
Otu03492,blips
Otu03493,blips
Otu03495,blips
Otu03502,blips
Otu03503,blips
Otu03504,blips
Otu03507,blips
Otu03508,blips
Otu03509,blips
Otu03510,blips
Otu03512,blips
Otu03514,blips
Otu03515,blips
Otu03516,blips
