OTU,active
Otu02812,transient
Otu02813,transient
Otu02815,transient
Otu02821,transient
Otu02822,transient
Otu02823,transient
Otu02824,transient
Otu02826,transient
Otu02827,transient
Otu02828,transient
Otu02832,transient
Otu02833,transient
Otu02834,transient
Otu02835,transient
Otu02836,transient
Otu02839,transient
Otu02843,transient
Otu02847,transient
Otu02848,transient
Otu02849,transient
Otu02851,transient
Otu02852,transient
Otu02854,transient
Otu02855,transient
Otu02856,transient
Otu02857,transient
Otu02858,transient
Otu02863,transient
Otu02865,transient
Otu02868,transient
Otu02871,transient
Otu02872,transient
Otu02873,transient
Otu02874,transient
Otu02875,transient
Otu02876,transient
Otu02877,transient
Otu02879,transient
Otu02880,transient
Otu02882,transient
Otu02883,transient
Otu02885,transient
Otu02888,transient
Otu02889,transient
Otu02891,transient
Otu02892,transient
Otu02894,transient
Otu02895,transient
Otu02896,transient
Otu02897,transient
Otu02898,transient
Otu02900,transient
Otu02901,transient
Otu02902,transient
Otu02904,transient
Otu02908,transient
Otu02909,transient
Otu02911,transient
Otu02912,transient
Otu02914,transient
Otu02916,transient
Otu02917,transient
Otu02919,transient
Otu02922,transient
Otu02925,transient
Otu02928,transient
Otu02929,transient
Otu02930,transient
Otu02931,transient
Otu02932,transient
Otu02935,transient
Otu02936,transient
Otu02940,transient
Otu02941,transient
Otu02942,transient
Otu02945,transient
Otu02946,transient
Otu02947,transient
Otu02948,transient
Otu02949,transient
Otu02952,transient
Otu02953,transient
Otu02954,transient
Otu02957,transient
Otu02958,transient
Otu02959,transient
Otu02963,transient
Otu02967,transient
Otu02968,transient
Otu02970,transient
Otu02971,transient
Otu02972,transient
Otu02973,transient
Otu02975,transient
Otu02977,transient
Otu02978,transient
Otu02979,transient
Otu02983,transient
Otu02984,transient
Otu02985,transient
Otu02986,transient
Otu02988,transient
Otu02991,transient
Otu02992,transient
Otu02996,transient
Otu02997,transient
Otu02998,transient
Otu02999,transient
Otu03000,transient
Otu03001,transient
Otu03003,transient
Otu03005,transient
Otu03006,transient
Otu03007,transient
Otu03008,transient
Otu03009,transient
Otu03012,transient
Otu03013,transient
Otu03016,transient
Otu03017,transient
Otu03018,transient
Otu03021,transient
Otu03022,transient
Otu03023,transient
Otu03024,transient
Otu03025,transient
Otu03027,transient
Otu03031,transient
Otu03032,transient
Otu03034,transient
Otu03036,transient
Otu03039,transient
Otu03040,transient
Otu03041,transient
Otu03046,transient
Otu03047,transient
Otu03049,transient
Otu03051,transient
Otu03052,transient
Otu03054,transient
Otu03057,transient
Otu03058,transient
Otu03059,transient
Otu03060,transient
Otu03061,transient
Otu03063,transient
Otu03066,transient
Otu03067,transient
Otu03068,transient
Otu03070,transient
Otu03071,transient
Otu03072,transient
Otu03073,transient
Otu03074,transient
Otu03076,transient
Otu03079,transient
Otu03081,transient
Otu03082,transient
Otu03085,transient
Otu03086,transient
Otu03088,transient
Otu03090,transient
Otu03096,transient
Otu03097,transient
Otu03099,transient
Otu03100,transient
Otu03102,transient
Otu03103,transient
Otu03105,transient
Otu03106,transient
Otu03108,transient
Otu03109,transient
Otu03110,transient
Otu03111,transient
Otu03112,transient
Otu03113,transient
Otu03115,transient
Otu03116,transient
Otu03117,transient
Otu03118,transient
Otu03119,transient
Otu03120,transient
Otu03121,transient
Otu03122,transient
Otu03123,transient
Otu03124,transient
Otu03126,transient
Otu03127,transient
Otu03128,transient
Otu03129,transient
Otu03132,transient
Otu03133,transient
Otu03136,transient
Otu03140,transient
Otu03141,transient
Otu03143,transient
Otu03148,transient
Otu03150,transient
Otu03151,transient
Otu03152,transient
Otu03154,transient
Otu03155,transient
Otu03156,transient
Otu03160,transient
Otu03161,transient
Otu03165,transient
Otu03168,transient
Otu03169,transient
Otu03172,transient
Otu03174,transient
Otu03175,transient
Otu03176,transient
Otu03178,transient
Otu03179,transient
Otu03182,transient
Otu03183,transient
Otu03189,transient
Otu03190,transient
Otu03194,transient
Otu03195,transient
Otu03197,transient
Otu03201,transient
Otu03204,transient
Otu03205,transient
Otu03207,transient
Otu03208,transient
Otu03209,transient
Otu03210,transient
Otu03211,transient
Otu03212,transient
Otu03213,transient
Otu03215,transient
Otu03216,transient
Otu03217,transient
Otu03219,transient
Otu03220,transient
Otu03221,transient
Otu03222,transient
Otu03225,transient
Otu03226,transient
Otu03230,transient
Otu03231,transient
Otu03233,transient
Otu03235,transient
Otu03236,transient
Otu03237,transient
Otu03239,transient
Otu03240,transient
Otu03244,transient
Otu03246,transient
Otu03250,transient
Otu03251,transient
Otu03253,transient
Otu03254,transient
Otu03255,transient
Otu03256,transient
